Time	Oxygen	Wind_GEOMAR	Wind_Dir_GEOMAR
1535937679	-0.265848	0.0150791	-0.836742
1535938210	-0.268101	-0.023884	-0.855515
1535938741	-0.272988	0.00172335	-0.853989
1535939273	-0.27652	0.0438163	-0.83743
1535939804	-0.279352	0.090654	-0.815232
1535940336	-0.283631	0.11052	-0.802893
1535940867	-0.283299	0.0944028	-0.806049
1535941398	-0.277528	0.0569304	-0.826818
1535941930	-0.271512	0.0382744	-0.843689
1535942461	-0.27053	0.0704832	-0.863693
1535942992	-0.272361	0.0380737	-0.898076
1535943524	-0.26509	0.00724824	-0.883641
1535944055	-0.264353	0.0176885	-0.841339
1535944586	-0.25735	0.0490458	-0.853166
1535945118	-0.258413	0.0367992	-0.86474
1535945649	-0.253916	0.0463668	-0.838074
1535946180	-0.25206	0.04347	-0.827127
1535946712	-0.259166	0.0465152	-0.804858
1535947243	-0.255376	0.134381	-0.799625
1535947774	-0.250604	0.134651	-0.801452
1535948306	-0.245335	0.136247	-0.793816
1535948837	-0.237358	0.150868	-0.78965
1535949368	-0.217871	0.1315	-0.798437
1535949900	-0.213001	0.145318	-0.82598
1535950431	-0.207596	0.109231	-0.848154
1535950963	-0.223355	0.101151	-0.813696
1535951494	-0.223631	0.077209	-0.780956
1535952025	-0.239293	0.0805665	-0.810521
1535952557	-0.275531	0.0923562	-0.811044
1535953088	-0.235768	0.128095	-0.791759
1535953619	-0.239845	0.126284	-0.799409
1535954151	-0.241965	0.130701	-0.822448
1535954682	-0.237985	0.151291	-0.831513
1535955213	-0.238369	0.180906	-0.829241
1535955745	-0.240073	0.208892	-0.791982
1535956276	-0.235097	0.205187	-0.770865
1535956807	-0.233148	0.228385	-0.77956
1535957339	-0.230775	0.218435	-0.793114
1535957870	-0.236395	0.202073	-0.787028
1535958401	-0.235829	0.178952	-0.791257
1535958933	-0.226319	0.189674	-0.802545
1535959464	-0.212732	0.172875	-0.789083
1535959995	-0.218309	0.142421	-0.758043
1535960527	-0.20012	0.154992	-0.732401
1535961058	-0.177002	0.158795	-0.745489
1535961590	-0.15641	0.160107	-0.763596
1535962121	-0.0853306	0.133009	-0.790208
1535962652	-0.0851892	0.14917	-0.711422
1535963184	-0.083084	0.0901266	-0.688746
1535963715	-0.0820796	0.134646	-0.669568
1535964246	-0.0953466	0.201848	-0.647249
1535964778	-0.091264	0.182729	-0.622472
1535965309	-0.0297826	0.181709	-0.613408
1535965840	-0.123969	0.147322	-0.666507
1535966372	-0.127599	0.122212	-0.69464
1535966903	-0.0636919	0.0931598	-0.750265
1535967434	-0.0855053	0.136837	-0.760981
1535967966	-0.0836154	0.146801	-0.7553
1535968497	-0.0347401	0.186725	-0.762739
1535969028	-0.0358736	0.242849	-0.760798
1535969560	-0.00910121	0.259321	-0.776311
1535970091	0.0229658	0.2164	-0.749645
1535970622	0.0187908	0.202135	-0.686716
1535971154	0.00514539	0.171828	-0.643326
1535971685	-0.0218974	0.127447	-0.771778
1535972216	0.00524226	0.160419	-0.797635
1535972748	-0.0276956	0.128619	-0.775992
1535973279	-0.11939	0.170997	-0.805994
1535973811	-0.123617	0.302677	-0.774224
1535974342	-0.197219	0.352242	-0.731567
1535974873	-0.204904	0.330718	-0.720084
1535975405	-0.248658	0.262558	-0.78445
1535975936	-0.235872	0.19771	-0.802827
1535976467	-0.266109	0.293648	-0.801328
1535976999	-0.286284	0.337375	-0.784985
1535977530	-0.305079	0.3087	-0.791293
1535978061	-0.375829	0.356525	-0.751984
1535978593	-0.416982	0.421866	-0.776433
1535979124	-0.442573	0.474165	-0.763882
1535979655	-0.440918	0.467442	-0.769504
1535980187	-0.44446	0.395425	-0.765381
1535980718	-0.445054	0.363536	-0.750389
1535981249	-0.434492	0.392334	-0.748813
1535981781	-0.405298	0.431943	-0.705769
1535982312	-0.411135	0.394526	-0.650225
1535982843	-0.43572	0.389054	-0.647296
1535983375	-0.435426	0.362878	-0.681289
1535983906	-0.387673	0.319154	-0.746494
1535984438	-0.376166	0.308807	-0.805761
1535984969	-0.370386	0.288107	-0.779839
1535985500	-0.354141	0.310683	-0.687066
1535986032	-0.352661	0.353052	-0.703278
1535986563	-0.325657	0.312745	-0.757123
1535987094	-0.282253	0.259215	-0.788168
1535987626	-0.27757	0.314594	-0.8283
1535988157	-0.273873	0.36251	-0.806395
1535988688	-0.269719	0.337744	-0.774243
1535989220	-0.292379	0.319267	-0.797268
1535989751	-0.287229	0.384559	-0.804562
1535990282	-0.255231	0.320358	-0.782724
1535990814	-0.260592	0.306177	-0.807466
1535991345	-0.293243	0.387167	-0.792901
1535991876	-0.313953	0.422413	-0.781785
1535992408	-0.309564	0.375929	-0.79993
1535992939	-0.265155	0.382848	-0.803259
1535993470	-0.246011	0.425222	-0.785249
1535994002	-0.24721	0.355003	-0.794959
1535994533	-0.243464	0.33423	-0.788962
1535995065	-0.260328	0.332015	-0.780672
1535995596	-0.251726	0.40358	-0.724663
1535996127	-0.242968	0.404832	-0.713461
1535996659	-0.239729	0.382345	-0.75607
1535997190	-0.243769	0.447124	-0.77216
1535997721	-0.236759	0.367074	-0.765427
1535998253	-0.245067	0.332796	-0.724296
1535998784	-0.243728	0.342145	-0.742973
1535999315	-0.258803	0.364004	-0.71844
1535999847	-0.239236	0.357461	-0.754089
1536000378	-0.220994	0.379872	-0.767292
1536000909	-0.214809	0.369651	-0.773959
1536001441	-0.201948	0.315659	-0.766731
1536001972	-0.183538	0.26532	-0.756126
1536002503	-0.174992	0.252007	-0.728905
1536003035	-0.172508	0.227263	-0.73093
1536003566	-0.142746	0.23762	-0.721553
1536004097	-0.131687	0.2154	-0.757141
1536004629	-0.121475	0.203947	-0.770577
1536005160	-0.130432	0.185158	-0.735817
1536005691	-0.176267	0.128786	-0.688182
1536006223	-0.165668	0.0530991	-0.690391
1536006754	-0.166153	0.0169989	-0.69859
1536007286	-0.166295	-0.0241521	-0.717261
1536007817	-0.176837	0.0359301	-0.756262
1536008348	-0.179913	0.0715286	-0.721991
1536008880	-0.19035	0.0814481	-0.728978
1536009411	-0.228006	0.199254	-0.691439
1536009942	-0.232373	0.240205	-0.680998
1536010474	-0.26198	0.225345	-0.682012
1536011005	-0.256239	0.230473	-0.673226
1536011536	-0.246095	0.213986	-0.666195
1536012068	-0.251549	0.200685	-0.667713
1536012599	-0.273644	0.18619	-0.656576
1536013130	-0.279272	0.147419	-0.667345
1536013662	-0.320958	0.128555	-0.683028
1536014193	-0.401843	0.146426	-0.680402
1536014724	-0.42873	0.180656	-0.670551
1536015256	-0.457963	0.177685	-0.682346
1536015787	-0.47411	0.144459	-0.717722
1536016318	-0.50928	0.108842	-0.718463
1536016850	-0.517245	0.0480864	-0.754655
1536017381	-0.511804	0.0204988	-0.785404
1536017913	-0.511753	0.0160434	-0.721438
1536018444	-0.518696	0.0121206	-0.716366
1536018975	-0.516365	0.0181351	-0.757648
1536019507	-0.522408	0.00255483	-0.770149
1536020038	-0.525045	-0.0130255	-0.774231
1536020569	-0.527033	-0.0108885	-0.783183
1536021101	-0.527878	0.00817731	-0.771394
1536021632	-0.532047	0.0309048	-0.785483
1536022163	-0.530719	0.029765	-0.79535
1536022695	-0.527779	0.0370891	-0.784614
1536023226	-0.527599	0.040234	-0.740585
1536023757	-0.528096	0.0148279	-0.702444
1536024289	-0.522952	-0.0145453	-0.726046
1536024820	-0.53745	-0.0223009	-0.762255
1536025351	-0.526162	-0.0233906	-0.761556
1536025883	-0.521378	-0.0783337	-0.799978
1536026414	-0.501589	-0.10173	-0.848083
1536026945	-0.492284	-0.0795518	-0.820191
1536027477	-0.499069	-0.0855346	-0.837375
1536028008	-0.490349	-0.0462744	-0.798032
1536028540	-0.51035	-0.000682359	-0.776899
1536029071	-0.517511	0.00498493	-0.770126
1536029602	-0.479861	-0.0323587	-0.770446
1536030134	-0.502262	-0.0609154	-0.768893
1536030665	-0.499319	-0.0744598	-0.812878
1536031196	-0.510573	-0.0612937	-0.867428
1536031728	-0.515288	-0.0324527	-0.881798
1536032259	-0.508685	-0.0441024	-0.938685
1536032790	-0.503391	-0.0695842	-0.983418
1536033322	-0.493759	-0.0636374	-1.0218
1536033853	-0.505407	-0.0258642	-1.0031
1536034384	-0.516702	-0.0406946	-0.966711
1536034916	-0.523782	-0.0694259	-1.00015
1536035447	-0.511438	-0.0807372	-1.02473
1536035978	-0.499808	-0.0705776	-1.05855
1536036510	-0.503376	-0.0821315	-1.09094
1536037041	-0.518048	-0.0945646	-1.0658
1536037572	-0.523791	-0.0763552	-1.02559
1536038104	-0.521495	-0.0740558	-1.01085
1536038635	-0.510983	-0.118416	-1.02662
1536039167	-0.493361	-0.128838	-1.07817
1536039698	-0.486065	-0.13649	-1.06993
1536040229	-0.478447	-0.156624	-1.00413
1536040761	-0.480695	-0.157235	-0.921718
1536041292	-0.486136	-0.155985	-0.907995
1536041823	-0.486505	-0.160499	-0.896128
1536042355	-0.468521	-0.165223	-0.983861
1536042886	-0.449585	-0.140737	-0.982402
1536043417	-0.43639	-0.10265	-0.989697
1536043949	-0.416273	-0.0728455	-0.958629
1536044480	-0.372135	-0.0676806	-0.95328
1536045011	-0.325904	-0.0704087	-0.880231
1536045543	-0.306815	-0.021879	-0.808365
1536046074	-0.306507	-0.0288009	-0.705576
